Manual Cell ID,TrackedDead,RMSError
258,Yes,8.062734762633584
295,Yes,3.080070288241023
338,Yes,6.940947909456144
482,Yes,5.838503326891115
536,Yes,4.63367139033228
645,Yes,7.17347344883038
926,Yes,6.249099805534655
934,Yes,3.7511661226171107
939,Yes,5.313302967739202
940,Yes,8.331807581025526
942,Yes,7.7362660263062315
949,Yes,7.632133614975749
961,Yes,5.538566899510733
966,Yes,7.462948563575746
967,Yes,4.1087641713943786
970,Yes,3.626699110481307
971,Yes,4.62611441266131
1002,Yes,5.37392390682891
1005,Yes,7.212435595175863
1008,Yes,6.187760454167024
1009,Yes,6.662182978749855
1023,Yes,6.824406500845335
1037,Yes,8.508510515416495
1038,Yes,6.540527446040945
1043,Yes,7.500555493837827
1049,Yes,5.4968982034849665
1054,Yes,8.91230687135729
1062,Yes,5.616370766889862
1064,Yes,5.00199880111877
1065,Yes,1.0
1072,Yes,8.86137019414054
1078,Yes,3.8022141305824637
1080,Yes,5.906397132349366
1081,Yes,4.795831523312719
1086,Yes,7.23564513024469
1089,Yes,8.341731296826769
1095,Yes,5.526757521241775
1096,Yes,8.55520482306303
1098,Yes,5.623413251903491
1099,Yes,4.249172870720582
1105,Yes,6.825192949317144
1106,Yes,7.636628395260131
1115,Yes,5.98256302401793
1124,Yes,7.503516045230861
1147,Yes,2.882121417102006
1148,Yes,6.1343113260131785
1157,Yes,5.22267779917273
1158,Yes,5.508900236071356
1163,Yes,4.097908689044531
1173,Yes,9.0273102820008
