Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
0,0,0,0,0,5
1,0,0,0,0,7
2,0,0,0,0,8
3,0,0,0,0,9
4,0,0,0,0,9
5,13.570498416641822,12891.089909325476,184.1584272760782,70,10
6,13.415726267208372,12778.701500643194,179.9817112766647,71,10
7,13.382490727286205,12894.55618074489,179.09105806590125,72,11
8,13.238905236164657,12619.340053354654,175.26861185214796,72,11
9,13.231988580490182,12431.072047389802,175.08552179422256,71,12
10,13.139289955496986,12602.78865902755,172.64094053462398,73,12
11,13.011180447345813,12866.102064137944,169.290816633394,76,13
12,12.948513234703025,12574.799624195955,167.66399498927942,75,13
13,12.934781447624868,13551.994258923458,167.30857109782048,81,14
14,12.822473284840544,13482.097333516858,164.41582114044948,82,15
15,13.358363457160433,21413.504910431908,178.44587425359924,120,14
16,9.970325656588932,12028.294637510697,99.40739369843551,121,15
17,9.492689250919986,11263.893651816477,90.11114921453182,125,16
18,9.474451491775675,11310.419114821298,89.7652310700103,126,18
19,9.429895333703358,11559.980380598048,88.92292600460037,130,17
20,9.7524945083373,12459.560536704545,95.11114913514919,131,15
21,9.717839995242656,12654.479499200463,94.43641417313778,134,17
22,9.360810922451344,12004.595014246162,87.6247811258844,137,17
23,9.608131316999208,12462.685299634622,92.31618740470091,135,18
24,9.59155317345788,13523.690165052683,91.99789227926995,147,17
25,9.450115015157888,14824.575850752288,89.30467379971257,166,18
26,9.800939737006788,15945.69767492082,96.05841972843868,166,18
27,9.498704383970578,15428.540830564581,90.22538497406188,171,19
28,9.634711893690438,16244.842823023502,92.82767327442001,175,20
29,9.611491904147018,16628.539792227057,92.38077662348365,180,19
30,12.033082842161155,26642.295214281625,144.79508268631318,184,18
31,11.970677340678767,27226.452038981613,143.29711599464008,190,17
32,11.935912450468512,28065.8031869741,142.46600602524924,197,17
33,12.040995966362651,28997.116772392328,144.98558386196163,200,17
34,11.998326588014992,28791.968182533492,143.95984091266746,200,16
35,12.014164660319926,32909.55476664388,144.34015248528019,228,18
36,12.192539162851201,33745.36855094888,148.65801123766025,227,17
37,12.22802425590898,33942.07902510333,149.52457720309837,227,18
38,12.250593873624451,35418.183860530444,150.07705025648494,236,17
39,12.264810160377335,35801.285248282635,150.4255682700951,238,16
40,12.247618096273648,36451.008214817244,150.00414903216972,243,16
41,11.829731678531658,34006.04003541147,139.94255158605543,243,17
42,11.842096807924918,34497.873174833316,140.23525680826552,246,16
43,13.467835155443703,45164.26335977712,181.3825837742053,249,15
44,13.168099479305065,43176.312130321705,173.39884389687433,249,15
45,13.298751659956208,46336.48047685526,176.856795713188,262,14
46,13.407601753324368,47637.40296557286,179.76378477574664,265,13
47,13.269637063822197,46662.0659684744,176.0832678055638,265,12
48,13.199266972027136,46691.13382449083,174.2206485988464,268,12
49,13.11299481447166,46426.670911177374,171.95063300436064,270,13
50,13.041660422402293,46603.2644010717,170.08490657325436,274,11
51,13.247270903727713,48435.291445503244,175.4901863967509,276,10
52,13.080277929064243,47906.227796438245,171.09367070156517,280,8
53,12.684333594655367,44888.95692860026,160.89231874050273,279,10
54,12.654334882186289,44837.01356694467,160.13219131051667,280,10
55,12.65809664951589,45023.9024315644,160.2274107884854,281,9
56,12.748462416797189,45994.092199874794,162.52329399249044,283,9
57,12.73276808153523,46529.41092621259,162.12338301816234,287,10
58,12.18069734231761,42285.275507365826,148.36938774514326,285,12
59,12.316805157561996,43842.366204620936,151.7036892893458,289,11
60,12.4649186277991,44592.39436612641,155.374196397653,287,10
61,12.45587283227857,44993.142724029654,155.14876801389536,290,10
62,12.1799466672212,42873.46813592596,148.3511008163528,289,10
63,12.249420954294198,44114.20423235753,150.0483137155018,294,9
64,12.377343354990918,45193.59541556467,153.19862852733786,295,9
65,12.328096840638967,44682.699683378705,151.98197171217248,294,10
66,12.303038325759237,44652.601853304695,151.36475204510066,295,12
67,12.128097003214872,44715.58402349443,147.09073691938957,304,14
68,12.175054751663874,45210.74725283398,148.23195820601305,305,14
69,11.769440616803639,41971.47892703756,138.5197324324672,303,15
70,12.096267814296738,44920.146375803684,146.31969503519116,307,17
71,11.900266140872155,43051.36560397082,141.61633422358824,304,17
72,11.747464327185737,42504.89878049844,138.00291811850144,308,18
73,11.701421244155481,42720.05684955005,136.92325913317322,312,17
74,11.859286894042683,43880.51791818631,140.64268563521253,312,15
75,11.844854047237462,43633.47646151124,140.3005674003577,311,15
76,11.904075925608113,44354.298400147156,141.70702364264267,313,15
77,11.866460416328731,44074.43232024885,140.81288281229666,313,15
78,12.011063441098642,45155.14688064816,144.26564498609636,313,14
79,11.900528665105574,44044.62316029883,141.62258250899944,311,14
80,11.66539548331586,42457.412956035805,136.08145178216606,312,12
81,11.635122224241343,43049.58999702507,135.3760691730348,318,10
82,11.804691982359888,44174.1886370902,139.3507527983918,317,11
83,11.953067713045852,45291.63739759297,142.8758277526592,317,11
84,11.698446977956754,43656.318081044905,136.85366169606553,319,11
85,11.66783726983424,43972.71177737255,136.13842655533296,323,11
86,11.835527607628258,44685.42868654688,140.07971375093067,319,10
87,11.755822329582687,44638.392842242916,138.19935864471492,323,9
88,11.523804050590629,42893.7733142401,132.79805979640898,323,8
89,11.493402540122167,43592.4396432646,132.09830194928668,330,8
90,11.676125264464847,44716.863590803565,136.3319011914743,328,9
91,11.481665771484815,44162.5973775088,131.82864888808598,335,9
92,11.274723706157044,42584.99720781017,127.11939465017961,335,10
93,11.103021356081559,41667.65413295787,123.27708323360316,338,11
94,10.945781144883071,40615.63233149876,119.81012487167776,339,12
95,10.755414937674603,39446.5221142099,115.67895048155397,341,12
96,10.906975144669357,40447.11631418795,118.96210680643514,340,12
97,10.824339478911162,39719.3842274483,117.16632515471476,339,10
98,10.733853296565067,39288.52184793365,115.21560659218078,341,11
99,10.679222490598923,38889.61541426643,114.04579300371387,341,11
100,10.576276078796102,37807.87410488115,111.85761569491464,338,10
101,10.55720143995599,38228.89426962643,111.45450224380883,343,11
102,11.177262862638404,42476.60973417532,124.93120510051564,340,10
103,11.107266491187914,43056.6077482868,123.3713689062659,349,9
104,11.251074684534277,44431.9252264958,126.58668155696809,351,9
105,11.118029300360627,43387.312008810775,123.61057552367743,351,9
106,11.228385562129585,44252.90145847588,126.0766423318401,351,9
107,11.142397271432348,43577.70895100248,124.15301695442302,351,9
108,11.017103225548457,42603.17378231896,121.37656348239021,351,9
109,11.075632497449819,43057.041961716845,122.66963521856651,351,8
110,9.768023593673167,33394.999724294474,95.41428492655564,350,7
111,9.516244002801411,31876.73277214054,90.55889992085382,352,8
112,9.613510761339738,32439.27579459663,92.41958915839496,351,8
113,9.40212527950003,31028.385879766152,88.39995977141353,351,8
114,9.401475886858325,31377.650842168376,88.38774885117853,355,8
115,9.373628245668101,31016.311990259353,87.86490648798684,353,8
116,9.345586831513492,31093.03758822759,87.3399932253584,356,7
117,9.403901488544285,31393.843938217127,88.43336320624543,355,8
118,9.38910368540559,31383.275413445677,88.15526801529684,356,6
119,9.411253772336234,31620.09603153074,88.571697567313,357,7
120,10.157368392105823,36832.4513571033,103.17213265295042,357,6
121,10.059400918711912,36530.148410460926,101.19154684338207,361,5
122,9.986405044810528,36001.9111445652,99.72828571901718,361,5
123,9.906637519700409,35429.06956777165,98.14146694673587,361,5
124,9.839437837555087,34756.41876832075,96.81453695911073,359,5
125,9.564421297094087,33023.61386413881,91.47815474830695,361,5
126,9.653866364757446,34016.95456283723,93.19713578859515,365,6
127,9.798132898932407,34849.23721476639,96.00340830514158,363,6
128,9.65087300574594,34089.00201693105,93.13934977303566,366,6
129,9.666108365093605,34383.58354066958,93.43365092573255,368,6
130,9.91532795850882,35982.82464007193,98.3137285247867,366,6
131,9.528091598511617,33590.275918562234,90.78452950962766,370,6
132,9.60711146977199,33965.14541168582,92.29659079262451,368,6
133,9.56467926483174,33665.77691358963,91.48308943910226,368,6
134,9.709234968581224,35068.1586471448,94.26924367512044,372,4
135,9.654054309244055,34577.483668764304,93.2007646058337,371,4
136,9.621260923942796,34250.404853637774,92.56866176658858,370,3
137,10.113708584796068,38153.088799140285,102.2871013381777,373,3
138,10.067911413763248,38011.06508826911,101.3628402353843,375,3
139,9.727344905360173,35482.96459043869,94.62123890783651,375,2
140,9.553239803904507,34224.14653158954,91.26439075090543,375,2
141,9.5225453021816,33823.21814897362,90.67886903210085,373,2
142,9.236091323384997,32074.823983149272,85.30538293390764,376,3
143,9.425550829784578,33493.06018370949,88.84100844485275,377,3
144,9.285305971528869,32589.990840295857,86.21690698490967,378,3
145,9.249909739438674,32427.55464116196,85.56083018776243,379,3
146,9.462146968271973,33753.6489189403,89.53222524917851,377,3
147,9.324058045046797,32775.64802713052,86.93805842740191,377,3
148,9.13488717348488,31792.988359145762,83.44616367229858,381,2
149,9.370229923685516,33452.260561460695,87.80120882273148,381,2
150,9.673957774450425,35562.47442830293,93.58545902184981,380,2
151,9.252747316106447,32704.293166163156,85.61333289571506,382,2
152,9.607179773796343,35073.203218295785,92.29790320604154,380,3
153,9.236303868556572,32588.1560961836,85.30930915231309,382,3
154,9.334994955085675,33636.862493229346,87.14213081147498,386,3
155,9.315514057541884,33409.838830160275,86.77880215626045,385,3
156,9.173540015079633,32399.22701718289,84.15383640826724,385,3
157,9.01944254421765,31319.8823662507,81.35034380844337,385,3
158,9.205231339414919,32623.469344676432,84.73628401214658,385,3
159,9.421986911224929,34000.379707077554,88.77383735529388,383,2
160,9.611475204842195,35474.09495550578,92.3804556132963,384,2
161,9.534049246421594,35268.46087287855,90.89809503319215,388,2
162,9.52466194309334,35199.04383052172,90.71918513021062,388,2
163,9.371193471104423,34073.87562427362,87.81926707287016,388,3
164,9.453860273503354,34498.93299137702,89.37547407092492,386,3
165,9.499410573385559,35102.8936830405,90.23880124174936,389,3
166,9.184143482104584,32642.866210455162,84.34849149988413,387,3
