Manual Cell ID,TrackedDead,RMSError
258,Yes,12.17121393931436
295,Yes,6.277588787940483
338,No,0
482,Yes,9.655059269179622
536,Yes,13.078150001893372
645,Yes,12.393026621210916
926,No,0
934,Yes,15.60637779092341
939,No,0
940,Yes,16.08417231780673
942,Yes,16.23576533066807
949,Yes,10.630562036459981
961,No,0
966,Yes,12.56665692453734
967,Yes,9.758921436638017
970,Yes,10.64717104270661
971,Yes,10.33797646073528
1002,Yes,14.011011055307733
1005,Yes,14.183408726808054
1008,Yes,10.205808787929705
1009,Yes,13.15481379468917
1023,Yes,16.407845205348107
1037,Yes,11.295017816300092
1038,Yes,12.29964207325272
1043,No,0
1049,Yes,13.195043052618766
1054,Yes,11.596571987237212
1062,Yes,13.841629585669061
1064,No,0
1065,Yes,8.427820799490165
1072,Yes,13.265642512131535
1078,No,0
1080,Yes,14.036120900968768
1081,Yes,13.80100884193885
1086,Yes,11.787537176567227
1089,Yes,10.687333050008263
1095,Yes,12.053175591812336
1096,Yes,13.010115633540986
1098,Yes,12.529201513136455
1099,Yes,12.830344462243692
1105,Yes,11.411860705809445
1106,Yes,11.594647830429654
1115,Yes,12.30461029741887
1124,Yes,13.141615409662963
1147,Yes,10.41428657638877
1148,Yes,11.567123918449001
1157,Yes,14.774522292577561
1158,Yes,14.60215354244852
1163,No,0
1173,Yes,8.008774615588724
