Manual Cell ID,TrackedDead,RMSError
258,Yes,6.73782144697117
295,Yes,1.9343364202676694
338,Yes,4.097908689044531
482,Yes,4.151347725692716
536,Yes,1.9343364202676694
645,Yes,7.387842458795447
926,Yes,9.227509513928014
934,Yes,3.330245712617827
939,Yes,5.765547699671673
940,Yes,9.980442701579504
942,Yes,9.657003026626537
949,Yes,6.348140149620184
961,Yes,5.508900236071356
966,Yes,8.461034529913098
967,Yes,7.623120155360962
970,Yes,5.957892135528949
971,Yes,5.313302967739202
1002,Yes,4.977853291000824
1005,Yes,6.163346479506499
1008,Yes,3.872983346207417
1009,Yes,7.723274769683321
1023,Yes,8.074157792118413
1037,Yes,4.70248278970758
1038,Yes,6.990505481829083
1043,Yes,8.334831595889243
1049,Yes,6.144035496020002
1054,Yes,5.4527183582720475
1062,Yes,4.770703653915435
1064,Yes,5.507404268455894
1065,Yes,3.626699110481307
1072,Yes,3.1543421455299043
1078,Yes,6.906298579618991
1080,Yes,5.194369560058668
1081,Yes,6.198285684332168
1086,Yes,3.402328159186034
1089,Yes,3.3166247903554
1095,Yes,4.58257569495584
1096,Yes,5.940080599516702
1098,Yes,6.084982922173836
1099,Yes,5.678823028867355
1105,Yes,4.322214905840454
1106,Yes,3.1463462836457885
1115,Yes,4.126667707233817
1124,Yes,3.9400729303224864
1147,Yes,4.953351218394532
1148,Yes,4.8183372165600655
1157,Yes,5.0
1158,Yes,3.8425021874077574
1163,Yes,4.955406977798831
1173,Yes,6.110344458800088
