Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
0,0,0,0,0,53
1,0,0,0,0,53
2,0,0,0,0,53
3,0,0,0,0,53
4,0,0,0,0,53
5,3.6656487243852713,940.5886399411156,13.436980570587366,70,57
6,3.545570911795029,892.5461894302593,12.571073090567033,71,61
7,3.4715114345588627,867.7001980996511,12.051391640272932,72,62
8,3.5322975386622315,898.3530649180267,12.47712590163926,72,64
9,3.4066647220104302,823.9808815015186,11.605364528190403,71,69
10,3.1178202982466616,709.6186490875998,9.7208034121589,73,74
11,3.09887082087799,729.8280277011661,9.603000364489027,76,75
12,3.0301477020717775,688.6346322278156,9.181795096370875,75,80
13,3.0769196523419375,766.8621983044105,9.46743454696803,81,84
14,2.968235721142194,722.4547102936906,8.810423296264519,82,86
15,3.0618963908332986,1125.0251409837576,9.37520950819798,120,90
16,3.005941898003115,1093.3180899946387,9.035686694170568,121,93
17,3.0455204554265247,1159.3993555526731,9.275194844421385,125,98
18,3.0708443296050736,1188.190696980122,9.430084896667635,126,103
19,3.1548626894264395,1293.9106165875535,9.953158589135027,130,106
20,3.1292036384376485,1282.7409188162958,9.791915410811418,131,105
21,3.029034905657009,1229.4570295982678,9.175052459688565,134,109
22,3.110054461576997,1325.124109294573,9.672438753974985,137,109
23,3.0353725825872084,1243.820706541489,9.21348671512214,135,115
24,2.9754925944427253,1301.4727583987744,8.8535561795835,147,118
25,2.82696001576921,1326.6226865058036,7.991702930757853,166,120
26,2.8301898913609294,1329.6558203128238,8.00997482116159,166,109
27,2.7870147706490123,1328.234177740496,7.767451331815766,171,115
28,2.7103534268569818,1285.5527472331923,7.346015698475385,175,121
29,2.5670992612888295,1186.1997511157376,6.589998617309654,180,131
30,2.56768107770259,1213.109445489716,6.592986116791935,184,135
31,2.6801744719194303,1364.8336879864335,7.183335199928597,190,143
32,2.649645198458519,1383.0620765097142,7.0206196777142855,197,144
33,2.7098597761069723,1468.668001232506,7.34334000616253,200,148
34,2.769934312159461,1534.5072187356614,7.672536093678307,200,156
35,2.7774535032687795,1758.8485355229634,7.714247962820015,228,163
36,2.803331724882554,1783.9178084593898,7.8586687597329945,227,164
37,2.8319691196365846,1820.551144468573,8.020049094575212,227,167
38,2.7421154688748226,1774.5305497356508,7.519197244642588,236,168
39,2.710877793367031,1749.02830171578,7.348858410570504,238,173
40,2.683173514562324,1749.4590865474424,7.199420109248734,243,175
41,2.711753636395701,1786.9266916347894,7.353607784505306,243,181
42,2.628132834066343,1699.1422196004066,6.907082193497588,246,188
43,2.6714767810629985,1777.060259747921,7.136788191758719,249,190
44,2.592041936862286,1672.9516692107447,6.71868140245279,249,188
45,2.722617017268608,1942.1125767528,7.412643422720611,262,192
46,2.62447933282663,1825.29131863504,6.8878917684341125,265,195
47,2.6019363229267127,1794.0692465698264,6.770072628565383,265,196
48,2.6138864525436163,1831.0838396600013,6.83240238679105,268,198
49,2.6049060504301167,1832.094593523206,6.7855355315674295,270,202
50,2.634907591931247,1902.3102169366362,6.942738018016921,274,204
51,2.611236340987503,1881.9212430642895,6.8185552284938025,276,217
52,2.632408462783251,1940.280808181206,6.929574314932879,280,218
53,2.704830322770782,2041.1938739195014,7.316107074980292,279,220
54,2.6372179067327086,1947.377120525662,6.954918287591649,280,226
55,2.688629532072332,2031.2727817655477,7.228728760731487,281,230
56,2.639227664519081,1971.2429142410847,6.965522665162843,283,234
57,2.579998674931587,1910.3848376801893,6.656393162648743,287,231
58,2.7450883127372383,2147.620305747075,7.535509844726578,285,234
59,2.7393810309283633,2168.716237024331,7.504208432610142,289,237
60,2.744746616921057,2162.152955445582,7.533633991099588,287,237
61,2.714269877122108,2136.5056800972143,7.367260965852463,290,239
62,2.6583322900308852,2042.285133059826,7.066730564220851,289,242
63,2.7208104884933806,2176.4260560029034,7.402809714295589,294,248
64,2.7573480293215624,2242.8756056670336,7.602968154803504,295,251
65,2.799616380753344,2304.328452538441,7.837851879382453,294,247
66,2.8163062735585904,2339.8164028132146,7.931581026485473,295,248
67,2.8105796959396,2401.4049010772915,7.899358227227933,304,245
68,2.736277612250218,2283.6006272470354,7.487215171301755,305,245
69,2.687976773302339,2189.2413975452946,7.225219133812853,303,244
70,2.702099705009995,2241.512244455236,7.301342815815102,307,245
71,2.6949227741523623,2207.8330626280995,7.262608758645064,304,256
72,2.698078092116265,2242.1246204765857,7.2796253911577455,308,264
73,2.679326458411399,2239.7825644719314,7.17879027074337,312,264
74,2.620051518026642,2141.777026619478,6.864669957113711,312,273
75,2.6975263537494167,2263.037661472686,7.276648429172624,311,272
76,2.693677022683745,2271.0954174932563,7.255895902534365,313,273
77,2.7434955633187577,2355.878354562258,7.526767905949707,313,273
78,2.8044843160497077,2461.7864033172336,7.865132278968797,313,279
79,2.6760244129562625,2227.1041708674898,7.161106658737909,311,284
80,2.807671486599978,2459.5019831199575,7.88301917666653,312,285
81,2.786603138919511,2469.319943119871,7.765157053836072,318,292
82,2.789349631157078,2466.4094226530524,7.780471364836127,317,293
83,2.942590049979509,2744.8510761095754,8.658836202238408,317,295
84,2.8958683775965124,2675.151117655943,8.386053660363457,319,299
85,2.8015944361469756,2535.2048372418503,7.848931384649691,323,312
86,2.8614260924762753,2611.89521118259,8.187759282704045,319,315
