Manual Cell ID,TrackedDead,RMSError
258,Yes,13.985674090026425
295,Yes,11.877327315442532
338,Yes,8.50363597287441
482,Yes,8.168892365725691
536,No,0
645,Yes,15.596502790013961
926,No,0
934,Yes,9.862698020037792
939,Yes,12.129962552211406
940,Yes,11.234328739323882
942,Yes,10.745833636958448
949,Yes,11.743945964669951
961,No,0
966,Yes,7.351617268838649
967,Yes,6.482576862552529
970,Yes,11.579381003458169
971,Yes,7.629883243622508
1002,Yes,15.46449417792576
1005,Yes,14.262305992550145
1008,No,0
1009,No,0
1023,Yes,9.050330685610383
1037,Yes,12.254247189314082
1038,No,0
1043,No,0
1049,Yes,5.123359200447825
1054,Yes,12.267945699004628
1062,Yes,15.869318309710957
1064,Yes,9.951143115512762
1065,Yes,7.7265287307041834
1072,No,0
1078,No,0
1080,No,0
1081,No,0
1086,Yes,10.620976495915277
1089,No,0
1095,Yes,5.319957085933101
1096,Yes,15.446956525535317
1098,Yes,9.06076724163551
1099,No,0
1105,Yes,6.90553952057806
1106,No,0
1115,Yes,10.502792860239671
1124,No,0
1147,Yes,18.525491161862117
1148,Yes,7.486891599920896
1157,Yes,14.388501780177094
1158,Yes,6.732093045591292
1163,No,0
1173,Yes,8.168892365725691
